kode,nama,ukuran,satuan,isi,hpp,harga_jual
HEPP04HTMHD001,PLASTIK POLYMAILER HD 045 HITAM,10 X 20,Pcs,100,60.0,125.0
HEPP04HTMHD002,PLASTIK POLYMAILER HD 045 HITAM,16 X 20,Pcs,100,80.0,140.0
HEPP04HTMHD003,PLASTIK POLYMAILER HD 045 HITAM,17 X 30,Pcs,100,90.0,190.0
HEPP04HTMHD004,PLASTIK POLYMAILER HD 045 HITAM,17 x 35,Pcs,100,125.0,200.0
HEPP04HTMHD005,PLASTIK POLYMAILER HD 045 HITAM,20 X 30,Pcs,100,105.0,225.0
HEPP04HTMHD006,PLASTIK POLYMAILER HD 045 HITAM,20 X 35,Pcs,100,115.0,260.0
HEPP04HTMHD007,PLASTIK POLYMAILER HD 045 HITAM,20 X 40,Pcs,100,135.0,270.0
HEPP04HTMHD008,PLASTIK POLYMAILER HD 045 HITAM,25 X 30,Pcs,100,130.0,280.0
HEPP04HTMHD009,PLASTIK POLYMAILER HD 045 HITAM,25 x 35,Pcs,100,190.0,300.0
HEPP04HTMHD010,PLASTIK POLYMAILER HD 045 HITAM,25 X 40,Pcs,100,170.0,330.0
HEPP04HTMHD011,PLASTIK POLYMAILER HD 045 HITAM,30 X 40,Pcs,100,195.0,365.0
HEPP04HTMHD012,PLASTIK POLYMAILER HD 045 HITAM,30 x 50,Pcs,100,280.0,420.0
HEPP04HTMHD013,PLASTIK POLYMAILER HD 045 HITAM,35 X 50,Pcs,100,320.0,540.0
HEPP04HTMHD014,PLASTIK POLYMAILER HD 045 HITAM,40 X 50,Pcs,100,360.0,600.0
HEPP05HTMPE001,PLASTIK POLYMAILER PE 05 HITAM,17 X 30,Pcs,100,110.0,225.0
HEPP05HTMPE001A,PLASTIK POLYMAILER PE 05 HITAM,17 X 35,Pcs,100,130.0,250.0
HEPP05HTMPE002,PLASTIK POLYMAILER PE 05 HITAM,20 X 30,Pcs,100,130.0,250.0
HEPP05HTMPE002A,PLASTIK POLYMAILER PE 05 HITAM,20 X 35,Pcs,101,130.0,275.0
HEPP05HTMPE003,PLASTIK POLYMAILER PE 05 HITAM,20 X 40,Pcs,100,165.0,320.0
HEPP05HTMPE004,PLASTIK POLYMAILER PE 05 HITAM,25 X 40,Pcs,100,200.0,380.0
HEPP05HTMPE005,PLASTIK POLYMAILER PE 05 HITAM,30 X 40,Pcs,100,235.0,445.0
HEPP05HTMPE006,PLASTIK POLYMAILER PE 05 HITAM,35 X 50,Pcs,100,330.0,620.0
HEDTKRL500100X150,DIRECT THERMAL 500 ROLL,100 X 150,ROLL,1,36000.0,55000.0
HEDTKRL350100X150,DIRECT THERMAL 350 ROLL,100 X 150,ROLL,1,32000.0,42000.0
HEDTKBK500100X150,DIRECT THERMAL 500 BUKU,100 X 150,PACK,1,36000.0,55000.0
SPBGSBG01,SHOPPING BAG TALI ROTAN,20 X 10 X 30,Pcs,50,1500.0,2500.0
SPBGSBG02,SHOPPING BAG TALI ROTAN,25 X 15 X 30.5,Pcs,50,1700.0,2800.0
SPBGSBG03,SHOPPING BAG TALI ROTAN,28 X 11 X 31.5,Pcs,50,1400.0,2350.0
SPBGSBG04,SHOPPING BAG TALI ROTAN,33 X 15 X 25.5,Pcs,50,2100.0,3150.0
SPBGSBG05,SHOPPING BAG TALI ROTAN,28 X 13.5 X 40.5,Pcs,50,1900.0,3400.0
SPBGSBG011,SHOPPING BAG TALI ROTAN,22.5 X 18 X 30,Pcs,50,400.0,3100.0
SPBGSBG012,SHOPPING BAG TALI ROTAN,20 X 15.5 X 7.5,Pcs,50,900.0,1550.0
JSSPPB01,JASA SABLON PLASTIK 1 SISI 1 WARNA POLYMAILER,-,Pcs,1,175.0,300.0
JSSPPB02,JASA SABLON PLASTIK 2 SISI 1 WARNA POLYMAILER,-,PCS,1,300.0,600.0
JSSPPB03,JASA SABLON PLASTIK 1 SISI 1 WARNA OPP,-,pcs,1,125.0,200.0
TSSPBNOV001,TAS SPUND BOND STANDING OUVAL,25 X 35 X 8,Pcs,20,1000.0,1400.0
TSSPBNOV002,TAS SPUND BOND STANDING OUVAL,30 X 40 X 10,Pcs,20,1100.0,1540.0
TSSPBNSH003,TAS SPUND BOND STANDING STANDING HANDLE,25 X 35 X 8,Pcs,12,1833.3333333333333,2566.6666666666665
TSSPBNSH004,TAS SPUND BOND STANDING STANDING HANDLE,30 X 40 X 10,Pcs,12,2000.0,2800.0
NSBLB01PR001,LUNC BOX PRINT 01,16 X 9 X 5,Pcs,100,0,0
SBNTSSPBNSH004,JASA SABLON TAS SPUNBOND,-,Pcs,100,400.0,500.0
SBNPPP2LR005,JASA SABLON PLASTIK 1 SISI 1 WARNA,-,Pcs,1000,175.0,350.0
SBNPPP2LR006,JASA SABLON PLASTIK 1 SISI 2 WARNA,-,Pcs,1000,350.0,600.0
SBNPPP2LR007,JASA SABLON PLASTIK 2 SISI 2 WARNA,-,Pcs,100,700.0,1000.0
SBNPPP2LR008,JASA SABLON PLASTIK 2 SISI 1WARNA,-,Pcs,101,350.0,600.0
BSMRJW06PE0001,PLASTIK POLYMAILER 06 HITAM PE,40 X 60,Pcs,100,805.0,1200.0
BSMRJW06PE0002,PLASTIK POLYMAILER 06 HITAM PE,45 X 60,Pcs,100,925.0,1600.0
BSMRJW06PE0003,PLASTIK POLYMAILER 06 HITAM PE,50 X 60,Pcs,100,1044.0,1700.0
BSMRJW06PE0004,PLASTIK POLYMAILER 06 HITAM PE,60 X 100,Pcs,50,2013.0,2600.0
DPPKPL0620,PLASTIK ZIPLOCK 06 KLIP POLOS,20 X 30,Pcs,100,320.0,470.0
DPPKPL0625,PLASTIK ZIPLOCK 06 KLIP POLOS,25 X 35,Pcs,100,420.0,670.0
DPPKPL2835DS,PLASTIK ZIPLOCK 06 KLIP POLOS,28 X 35,Pcs,100,625.0,830.0
DPPKPL2835DS05,PLASTIK ZIPLOCK 05 KLIP POLOS,28 X 35,Pcs,100,460.0,595.0
DPPKPL0630,PLASTIK ZIPLOCK 06 KLIP POLOS,30 X 40,Pcs,100,480.0,900.0
DPPKPL0635,PLASTIK ZIPLOCK 06 KLIP POLOS,35 X 40,Pcs,100,670.0,1050.0
DPPKPON0620,PLASTIK ZIPLOCK 06 KLIP PON,20 X 30,Pcs,100,430.0,685.0
DPPKPON0621,PLASTIK ZIPLOCK 06 KLIP PON,25 X 35,Pcs,100,560.0,765.0
DPPKPON0628,PLASTIK ZIPLOCK 06 KLIP PON,28 x 35,Pcs,101,625.0,830.0
DPPKPON0630,PLASTIK ZIPLOCK 06 KLIP PON,30 X 40,Pcs,100,740.0,1100.0
DPPKPON0635,PLASTIK ZIPLOCK 06 KLIP PON,35 X 45,Pcs,100,850.0,1200.0
TGRZPB1015,PLASTIK ZIPPER BAG POTRAIT,10 X 15,Pcs,100,550.0,700.0
TGRZPB101520,PLASTIK ZIPPER BAG POTRAIT,15 x 20,Pcs,100,630.0,850.0
TGRZPB1725,PLASTIK ZIPPER BAG POTRAIT,17 X 25,Pcs,100,880.0,1300.0
TGRZPB2028,PLASTIK ZIPPER BAG POTRAIT,20 X 28,Pcs,100,1050.0,1500.0
TGRZPB2435,PLASTIK ZIPPER BAG POTRAIT,24 X 35,Pcs,100,1425.0,1850.0
TGRZPB2835,PLASTIK ZIPPER BAG POTRAIT,28 X 35,Pcs,101,1700.0,2400.0
TGRZPB2840,PLASTIK ZIPPER BAG POTRAIT,28 X 40,Pcs,100,1790.0,2500.0
TGRZPB3040,PLASTIK ZIPPER BAG POTRAIT,30 X 40,Pcs,,2000.0,2450.0
TGRZPB3540,PLASTIK ZIPPER BAG POTRAIT,35 X 40,Pcs,100,2300.0,2800.0
TGRZPB3545,PLASTIK ZIPPER BAG POTRAIT,35 X 45,Pcs,100,2390.0,2800.0
TGRZPB4045,PLASTIK ZIPPER BAG POTRAIT,40 X 50,Pcs,100,2990.0,3500.0
TGRZPBL101,PLASTIK ZIPPER BAG LANSCAPE,15 X 10,Pcs,100,550.0,750.0
TGRZPBL102B,PLASTIK ZIPPER BAG LANSCAPE,20 X 15,Pcs,100,800.0,945.0
TGRZPBL102,PLASTIK ZIPPER BAG LANSCAPE,20 X 15,Pcs,100,860.0,1150.0
PZBJUBM02015001,PLASTIK ZIPPER FOREBUN,20 X 15,PCS,,0,1170.0
TGRZPBL102A,PLASTIK ZIPPER BAG LANSCAPE & SABLON,20 X 15,Pcs,100,900.0,1170.0
TGRZPBL102SBM,PLASTIK ZIPPER BAG LANSCAPE & SABLON,20 X 15,Pcs,100,650.0,1170.0
TGRZPBL103,PLASTIK ZIPPER BAG LANSCAPE,25 X 15,Pcs,100,870.0,1250.0
PTPPPPUL0501,PLASTIK POLYMAILER UNGU LILLAC 05 MICRON,17 X 30,Pcs,100,180.0,280.0
PTPPPPUL0502,PLASTIK POLYMAILER UNGU LILLAC 05 MICRON,20 X 30,Pcs,100,220.0,310.0
PTPPPPUL0503,PLASTIK POLYMAILER UNGU LILLAC 05 MICRON,20 X 40,Pcs,100,330.0,450.0
PTPPPPUL0504,PLASTIK POLYMAILER UNGU LILLAC 05 MICRON,25 X 35,Pcs,100,360.0,490.0
PTPPPPUL0505,PLASTIK POLYMAILER UNGU LILLAC 05 MICRON,25 X 40,Pcs,100,395.0,540.0
PTPPPPUL0506,PLASTIK POLYMAILER UNGU LILLAC 05 MICRON,30 X 40,Pcs,100,460.0,630.0
PTPPPPUL0507,PLASTIK POLYMAILER UNGU LILLAC 05 MICRON,35 X 50,Pcs,100,770.0,900.0
PTPPPPUL0507A,PLASTIK POLYMAILER UNGU LILLAC 05 MICRON,40 x 50,Pcs,100,900.0,1150.0
PTPPPPUL0508,PLASTIK POLYMAILER UNGU LILLAC 05 MICRON,40 x 60,Pcs,100,980.0,1200.0
PTPPPPUL0509,PLASTIK POLYMAILER UNGU LILLAC 05 MICRON,50 x 60,Pcs,100,1500.0,1750.0
PTPPPPHJ0501,PLASTIK POLYMAILER HIJAU 05 MICRON,17 X 30,Pcs,100,180.0,280.0
PTPPPPHJ0502,PLASTIK POLYMAILER HIJAU 05 MICRON,20 X 30,Pcs,100,220.0,310.0
PTPPPPHJ0503,PLASTIK POLYMAILER HIJAU 05 MICRON,20 X 40,Pcs,100,330.0,450.0
PTPPPPHJ0504,PLASTIK POLYMAILER HIJAU 05 MICRON,25 X 35,Pcs,100,360.0,490.0
PTPPPPHJ0505,PLASTIK POLYMAILER HIJAU 05 MICRON,25 X 40,Pcs,100,395.0,540.0
PTPPPPHJ0506,PLASTIK POLYMAILER HIJAU 05 MICRON,30 X 40,Pcs,100,460.0,630.0
PTPPPPHJ0507,PLASTIK POLYMAILER HIJAU 05 MICRON,35 X 50,Pcs,100,770.0,900.0
PTPPPPHJ0508,PLASTIK POLYMAILER HIJAU 05 MICRON,40 x 60,Pcs,100,980.0,1200.0
PTPPPPHJ0509,PLASTIK POLYMAILER HIJAU 05 MICRON,50 x 60,Pcs,100,1500.0,1750.0
PTPPPPKNG0501,PLASTIK POLYMAILER KUNING 05 MICRON,17 X 30,Pcs,100,180.0,280.0
PTPPPPKNG0502,PLASTIK POLYMAILER KUNING 05 MICRON,20 X 30,Pcs,100,220.0,310.0
PTPPPPKNG0503,PLASTIK POLYMAILER KUNING 05 MICRON,20 X 40,Pcs,100,330.0,450.0
PTPPPPKNG0504,PLASTIK POLYMAILER KUNING 05 MICRON,25 X 35,Pcs,100,360.0,490.0
PTPPPPKNG0505,PLASTIK POLYMAILER KUNING 05 MICRON,25 X 40,Pcs,100,395.0,540.0
PTPPPPKNG0506,PLASTIK POLYMAILER KUNING 05 MICRON,30 X 40,Pcs,100,460.0,630.0
PTPPPPKNG0507,PLASTIK POLYMAILER KUNING 05 MICRON,35 X 50,Pcs,100,770.0,900.0
PTPPPPKNG0508,PLASTIK POLYMAILER KUNING 05 MICRON,40 x 60,Pcs,100,980.0,1200.0
PTPPPPKNG0509,PLASTIK POLYMAILER KUNING 05 MICRON,50 x 60,Pcs,100,1500.0,1750.0
PTPPPPBBP0501,PLASTIK POLYMAILER BABBY PINK 05 MICRON,17 X 30,Pcs,100,180.0,280.0
PTPPPPBBP0502,PLASTIK POLYMAILER BABBY PINK 05 MICRON,20 X 30,Pcs,100,220.0,310.0
PTPPPPBBP0503,PLASTIK POLYMAILER BABBY PINK 05 MICRON,20 X 40,Pcs,100,330.0,450.0
PTPPPPBBP0504,PLASTIK POLYMAILER BABBY PINK 05 MICRON,25 X 35,Pcs,100,360.0,490.0
PTPPPPBBP0505,PLASTIK POLYMAILER BABBY PINK 05 MICRON,25 X 40,Pcs,100,395.0,540.0
PTPPPPBBP0506,PLASTIK POLYMAILER BABBY PINK 05 MICRON,30 X 40,Pcs,100,460.0,630.0
PTPPPPBBP0507,PLASTIK POLYMAILER BABBY PINK 05 MICRON,35 X 50,Pcs,100,770.0,900.0
PTPPPPBBP0511,PLASTIK POLYMAILER BABBY PINK 05 MICRON,40 x 50,pcs,100,900.0,1150.0
PTPPPPBBP0508,PLASTIK POLYMAILER BABBY PINK 05 MICRON,40 x 60,Pcs,100,950.0,1250.0
PTPPPPBBP0509,PLASTIK POLYMAILER BABBY PINK 05 MICRON,50 x 60,Pcs,100,1200.0,1750.0
PTPPPPBB0501,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,17 X 30,Pcs,100,180.0,280.0
PTPPPPBB0502,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,20 X 30,Pcs,100,220.0,310.0
PTPPPPBB0503,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,20 X 40,Pcs,100,330.0,450.0
PTPPPPBB0504,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,25 X 35,Pcs,100,360.0,490.0
PTPPPPBB0505,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,25 X 40,Pcs,100,395.0,540.0
PTPPPPBB0506,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,30 X 40,Pcs,100,460.0,630.0
PTPPPPBB0507,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,35 X 50,Pcs,100,770.0,900.0
PTPPPPBB0511,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,40 x 50,Pcs,100,900.0,1050.0
PTPPPPBB0508,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,40 x 60,Pcs,100,950.0,1200.0
PTPPPPBB0509,PLASTIK POLYMAILER BABBY BLUE 05 MICRON,50 x 60,Pcs,100,1200.0,1750.0
PTPPPPOR0501,PLASTIK POLYMAILER ORANGE 05 MICRON,17 X 30,Pcs,100,180.0,280.0
PTPPPPOR0502,PLASTIK POLYMAILER ORANGE 05 MICRON,20 X 30,Pcs,100,220.0,310.0
PTPPPPOR0503,PLASTIK POLYMAILER ORANGE 05 MICRON,20 X 40,Pcs,100,330.0,450.0
PTPPPPOR0504,PLASTIK POLYMAILER ORANGE 05 MICRON,25 X 35,Pcs,100,360.0,490.0
PTPPPPOR0505,PLASTIK POLYMAILER ORANGE 05 MICRON,25 X 40,Pcs,100,395.0,540.0
PTPPPPOR0506,PLASTIK POLYMAILER ORANGE 05 MICRON,30 X 40,Pcs,100,460.0,630.0
PTPPPPOR0507,PLASTIK POLYMAILER ORANGE 05 MICRON,35 X 50,Pcs,100,770.0,900.0
PTPPPPOR0508,PLASTIK POLYMAILER ORANGE 05 MICRON,40 x 50,Pcs,100,900.0,1050.0
